Type	Predicate	Enabled
class clang::Expr *	clang::CXXFoldExpr::getPattern	1
class clang::Expr *	clang::CXXFoldExpr::getInit	1
class clang::SourceLocation	clang::CXXFoldExpr::getLParenLoc	1
class clang::SourceLocation	clang::CXXFoldExpr::getRParenLoc	1
class clang::SourceLocation	clang::CXXFoldExpr::getEllipsisLoc	1
enum clang::BinaryOperatorKind	clang::CXXFoldExpr::getOperator	1
class std::optional<unsigned int>	clang::CXXFoldExpr::getNumExpansions	1
class clang::SourceLocation	clang::CXXFoldExpr::getBeginLoc	1
class clang::SourceLocation	clang::CXXFoldExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CXXFoldExpr::children	1
const class clang::CXXRecordDecl *	clang::OverloadExpr::getNamingClass	1
class clang::UnresolvedSetIterator	clang::OverloadExpr::decls_begin	0
class clang::UnresolvedSetIterator	clang::OverloadExpr::decls_end	0
class llvm::iterator_range<class clang::UnresolvedSetIterator>	clang::OverloadExpr::decls	1
unsigned int	clang::OverloadExpr::getNumDecls	1
const struct clang::DeclarationNameInfo &	clang::OverloadExpr::getNameInfo	1
class clang::DeclarationName	clang::OverloadExpr::getName	1
class clang::SourceLocation	clang::OverloadExpr::getNameLoc	1
class clang::NestedNameSpecifier *	clang::OverloadExpr::getQualifier	1
class clang::NestedNameSpecifierLoc	clang::OverloadExpr::getQualifierLoc	1
class clang::SourceLocation	clang::OverloadExpr::getTemplateKeywordLoc	1
class clang::SourceLocation	clang::OverloadExpr::getLAngleLoc	1
class clang::SourceLocation	clang::OverloadExpr::getRAngleLoc	1
_Bool	clang::OverloadExpr::hasTemplateKeyword	1
_Bool	clang::OverloadExpr::hasExplicitTemplateArgs	1
const class clang::TemplateArgumentLoc *	clang::OverloadExpr::getTemplateArgs	1
unsigned int	clang::OverloadExpr::getNumTemplateArgs	1
class llvm::ArrayRef<class clang::TemplateArgumentLoc>	clang::OverloadExpr::template_arguments	1
const class clang::Stmt *	clang::CapturedStmt::getCapturedStmt	1
const class clang::CapturedDecl *	clang::CapturedStmt::getCapturedDecl	1
enum clang::CapturedRegionKind	clang::CapturedStmt::getCapturedRegionKind	1
const class clang::RecordDecl *	clang::CapturedStmt::getCapturedRecordDecl	1
class llvm::iterator_range<const class clang::CapturedStmt::Capture *>	clang::CapturedStmt::captures	1
const class clang::CapturedStmt::Capture *	clang::CapturedStmt::capture_begin	0
class clang::CapturedStmt::Capture *	clang::CapturedStmt::capture_end	0
unsigned int	clang::CapturedStmt::capture_size	1
class llvm::iterator_range<class clang::Expr *const *>	clang::CapturedStmt::capture_inits	1
class clang::Expr *const *	clang::CapturedStmt::capture_init_begin	0
class clang::Expr *const *	clang::CapturedStmt::capture_init_end	0
class clang::SourceLocation	clang::CapturedStmt::getBeginLoc	1
class clang::SourceLocation	clang::CapturedStmt::getEndLoc	1
class clang::SourceRange	clang::CapturedStmt::getSourceRange	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CapturedStmt::children	1
_Bool	clang::CoroutineBodyStmt::hasDependentPromiseType	1
class clang::CompoundStmt *	clang::CoroutineBodyStmt::getBody	1
class clang::Stmt *	clang::CoroutineBodyStmt::getPromiseDeclStmt	1
class clang::VarDecl *	clang::CoroutineBodyStmt::getPromiseDecl	1
class clang::Stmt *	clang::CoroutineBodyStmt::getInitSuspendStmt	1
class clang::Stmt *	clang::CoroutineBodyStmt::getFinalSuspendStmt	1
class clang::Stmt *	clang::CoroutineBodyStmt::getExceptionHandler	1
class clang::Stmt *	clang::CoroutineBodyStmt::getFallthroughHandler	1
class clang::Expr *	clang::CoroutineBodyStmt::getAllocate	1
class clang::Expr *	clang::CoroutineBodyStmt::getDeallocate	1
class clang::Stmt *	clang::CoroutineBodyStmt::getResultDecl	1
class clang::Expr *	clang::CoroutineBodyStmt::getReturnValueInit	1
class clang::Expr *	clang::CoroutineBodyStmt::getReturnValue	1
class clang::Stmt *	clang::CoroutineBodyStmt::getReturnStmt	1
class clang::Stmt *	clang::CoroutineBodyStmt::getReturnStmtOnAllocFailure	1
class llvm::ArrayRef<const class clang::Stmt *>	clang::CoroutineBodyStmt::getParamMoves	1
class clang::SourceLocation	clang::CoroutineBodyStmt::getBeginLoc	1
class clang::SourceLocation	clang::CoroutineBodyStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CoroutineBodyStmt::children	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CoroutineBodyStmt::childrenExclBody	1
_Bool	clang::WhileStmt::hasVarStorage	1
const class clang::Expr *	clang::WhileStmt::getCond	1
const class clang::Stmt *	clang::WhileStmt::getBody	1
const class clang::VarDecl *	clang::WhileStmt::getConditionVariable	1
const class clang::DeclStmt *	clang::WhileStmt::getConditionVariableDeclStmt	1
class clang::SourceLocation	clang::WhileStmt::getWhileLoc	1
class clang::SourceLocation	clang::WhileStmt::getLParenLoc	1
class clang::SourceLocation	clang::WhileStmt::getRParenLoc	1
class clang::SourceLocation	clang::WhileStmt::getBeginLoc	1
class clang::SourceLocation	clang::WhileStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::WhileStmt::children	1
class clang::SourceLocation	clang::NoInitExpr::getBeginLoc	1
class clang::SourceLocation	clang::NoInitExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::NoInitExpr::children	1
const class clang::Expr *	clang::ImaginaryLiteral::getSubExpr	1
class clang::SourceLocation	clang::ImaginaryLiteral::getBeginLoc	1
class clang::SourceLocation	clang::ImaginaryLiteral::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::ImaginaryLiteral::children	1
unsigned int	clang::InitListExpr::getNumInits	1
class clang::Expr *const *	clang::InitListExpr::getInits	1
class llvm::ArrayRef<class clang::Expr *>	clang::InitListExpr::inits	1
const class clang::Expr *	clang::InitListExpr::getArrayFiller	1
_Bool	clang::InitListExpr::hasArrayFiller	1
_Bool	clang::InitListExpr::hasDesignatedInit	1
const class clang::FieldDecl *	clang::InitListExpr::getInitializedFieldInUnion	1
_Bool	clang::InitListExpr::isExplicit	1
_Bool	clang::InitListExpr::isStringLiteralInit	1
_Bool	clang::InitListExpr::isTransparent	1
class clang::SourceLocation	clang::InitListExpr::getLBraceLoc	1
class clang::SourceLocation	clang::InitListExpr::getRBraceLoc	1
_Bool	clang::InitListExpr::isSemanticForm	1
class clang::InitListExpr *	clang::InitListExpr::getSemanticForm	1
_Bool	clang::InitListExpr::isSyntacticForm	1
class clang::InitListExpr *	clang::InitListExpr::getSyntacticForm	1
_Bool	clang::InitListExpr::hadArrayRangeDesignator	1
class clang::SourceLocation	clang::InitListExpr::getBeginLoc	1
class clang::SourceLocation	clang::InitListExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::InitListExpr::children	1
class clang::Stmt *const *	clang::InitListExpr::begin	0
class clang::Stmt *const *	clang::InitListExpr::end	0
class std::reverse_iterator<class clang::Stmt *const *>	clang::InitListExpr::rbegin	0
class std::reverse_iterator<class clang::Stmt *const *>	clang::InitListExpr::rend	0
const char *	clang::CXXNamedCastExpr::getCastName	1
class clang::SourceLocation	clang::CXXNamedCastExpr::getOperatorLoc	1
class clang::SourceLocation	clang::CXXNamedCastExpr::getRParenLoc	1
class clang::SourceLocation	clang::CXXNamedCastExpr::getBeginLoc	1
class clang::SourceLocation	clang::CXXNamedCastExpr::getEndLoc	1
class clang::SourceRange	clang::CXXNamedCastExpr::getAngleBrackets	1
_Bool	clang::IfStmt::hasInitStorage	1
_Bool	clang::IfStmt::hasVarStorage	1
_Bool	clang::IfStmt::hasElseStorage	1
const class clang::Expr *	clang::IfStmt::getCond	1
const class clang::Stmt *	clang::IfStmt::getThen	1
const class clang::Stmt *	clang::IfStmt::getElse	1
const class clang::VarDecl *	clang::IfStmt::getConditionVariable	1
const class clang::DeclStmt *	clang::IfStmt::getConditionVariableDeclStmt	1
const class clang::Stmt *	clang::IfStmt::getInit	1
class clang::SourceLocation	clang::IfStmt::getIfLoc	1
class clang::SourceLocation	clang::IfStmt::getElseLoc	1
_Bool	clang::IfStmt::isConsteval	1
_Bool	clang::IfStmt::isNonNegatedConsteval	1
_Bool	clang::IfStmt::isNegatedConsteval	1
_Bool	clang::IfStmt::isConstexpr	1
enum clang::IfStatementKind	clang::IfStmt::getStatementKind	1
_Bool	clang::IfStmt::isObjCAvailabilityCheck	1
class clang::SourceLocation	clang::IfStmt::getBeginLoc	1
class clang::SourceLocation	clang::IfStmt::getEndLoc	1
class clang::SourceLocation	clang::IfStmt::getLParenLoc	1
class clang::SourceLocation	clang::IfStmt::getRParenLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::IfStmt::children	1
const class clang::Expr *	clang::PseudoObjectExpr::getSyntacticForm	1
unsigned int	clang::PseudoObjectExpr::getResultExprIndex	1
const class clang::Expr *	clang::PseudoObjectExpr::getResultExpr	1
unsigned int	clang::PseudoObjectExpr::getNumSemanticExprs	1
const class clang::Expr *const *	clang::PseudoObjectExpr::semantics_begin	0
const class clang::Expr *const *	clang::PseudoObjectExpr::semantics_end	0
