Type	Predicate	Enabled
const class clang::LabelDecl *	clang::IndirectGotoStmt::getConstantTarget	1
class clang::SourceLocation	clang::IndirectGotoStmt::getBeginLoc	1
class clang::SourceLocation	clang::IndirectGotoStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::IndirectGotoStmt::children	1
class clang::SourceLocation	clang::CoreturnStmt::getKeywordLoc	1
class clang::Expr *	clang::CoreturnStmt::getOperand	1
class clang::Expr *	clang::CoreturnStmt::getPromiseCall	1
_Bool	clang::CoreturnStmt::isImplicit	1
class clang::SourceLocation	clang::CoreturnStmt::getBeginLoc	1
class clang::SourceLocation	clang::CoreturnStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CoreturnStmt::children	1
class clang::Expr *	clang::BinaryConditionalOperator::getCommon	1
class clang::OpaqueValueExpr *	clang::BinaryConditionalOperator::getOpaqueValue	1
class clang::Expr *	clang::BinaryConditionalOperator::getCond	1
class clang::Expr *	clang::BinaryConditionalOperator::getTrueExpr	1
class clang::Expr *	clang::BinaryConditionalOperator::getFalseExpr	1
class clang::SourceLocation	clang::BinaryConditionalOperator::getBeginLoc	1
class clang::SourceLocation	clang::BinaryConditionalOperator::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::BinaryConditionalOperator::children	1
class clang::Expr *	clang::ConditionalOperator::getCond	1
class clang::Expr *	clang::ConditionalOperator::getTrueExpr	1
class clang::Expr *	clang::ConditionalOperator::getFalseExpr	1
class clang::Expr *	clang::ConditionalOperator::getLHS	1
class clang::Expr *	clang::ConditionalOperator::getRHS	1
class clang::SourceLocation	clang::ConditionalOperator::getBeginLoc	1
class clang::SourceLocation	clang::ConditionalOperator::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::ConditionalOperator::children	1
class clang::QualType	clang::CompoundAssignOperator::getComputationLHSType	1
class clang::QualType	clang::CompoundAssignOperator::getComputationResultType	1
_Bool	clang::CXXDynamicCastExpr::isAlwaysNull	1
class clang::SourceLocation	clang::CStyleCastExpr::getLParenLoc	1
class clang::SourceLocation	clang::CStyleCastExpr::getRParenLoc	1
class clang::SourceLocation	clang::CStyleCastExpr::getBeginLoc	1
class clang::SourceLocation	clang::CStyleCastExpr::getEndLoc	1
_Bool	clang::ImplicitCastExpr::isPartOfExplicitCast	1
class clang::SourceLocation	clang::ImplicitCastExpr::getBeginLoc	1
class clang::SourceLocation	clang::ImplicitCastExpr::getEndLoc	1
const class clang::Expr *	clang::CompoundLiteralExpr::getInitializer	1
_Bool	clang::CompoundLiteralExpr::isFileScope	1
class clang::SourceLocation	clang::CompoundLiteralExpr::getLParenLoc	1
class clang::TypeSourceInfo *	clang::CompoundLiteralExpr::getTypeSourceInfo	1
class clang::SourceLocation	clang::CompoundLiteralExpr::getBeginLoc	1
class clang::SourceLocation	clang::CompoundLiteralExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CompoundLiteralExpr::children	1
const class clang::CallExpr *	clang::CUDAKernelCallExpr::getConfig	1
const class clang::Expr *	clang::ArraySubscriptExpr::getLHS	1
const class clang::Expr *	clang::ArraySubscriptExpr::getRHS	1
const class clang::Expr *	clang::ArraySubscriptExpr::getBase	1
const class clang::Expr *	clang::ArraySubscriptExpr::getIdx	1
class clang::SourceLocation	clang::ArraySubscriptExpr::getBeginLoc	1
class clang::SourceLocation	clang::ArraySubscriptExpr::getEndLoc	1
class clang::SourceLocation	clang::ArraySubscriptExpr::getRBracketLoc	1
class clang::SourceLocation	clang::ArraySubscriptExpr::getExprLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::ArraySubscriptExpr::children	1
class clang::SourceLocation	clang::OffsetOfExpr::getOperatorLoc	1
class clang::SourceLocation	clang::OffsetOfExpr::getRParenLoc	1
class clang::TypeSourceInfo *	clang::OffsetOfExpr::getTypeSourceInfo	1
unsigned int	clang::OffsetOfExpr::getNumComponents	1
unsigned int	clang::OffsetOfExpr::getNumExpressions	1
class clang::SourceLocation	clang::OffsetOfExpr::getBeginLoc	1
class clang::SourceLocation	clang::OffsetOfExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::OffsetOfExpr::children	1
const class clang::TypeSourceInfo *	clang::SYCLUniqueStableNameExpr::getTypeSourceInfo	1
class clang::SourceLocation	clang::SYCLUniqueStableNameExpr::getBeginLoc	1
class clang::SourceLocation	clang::SYCLUniqueStableNameExpr::getEndLoc	1
class clang::SourceLocation	clang::SYCLUniqueStableNameExpr::getLocation	1
class clang::SourceLocation	clang::SYCLUniqueStableNameExpr::getLParenLocation	1
class clang::SourceLocation	clang::SYCLUniqueStableNameExpr::getRParenLocation	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::SYCLUniqueStableNameExpr::children	1
class llvm::StringRef	clang::StringLiteral::getString	1
class llvm::StringRef	clang::StringLiteral::getBytes	1
unsigned int	clang::StringLiteral::getByteLength	1
unsigned int	clang::StringLiteral::getLength	1
unsigned int	clang::StringLiteral::getCharByteWidth	1
enum clang::StringLiteral::StringKind	clang::StringLiteral::getKind	1
_Bool	clang::StringLiteral::isOrdinary	1
_Bool	clang::StringLiteral::isWide	1
_Bool	clang::StringLiteral::isUTF8	1
_Bool	clang::StringLiteral::isUTF16	1
_Bool	clang::StringLiteral::isUTF32	1
_Bool	clang::StringLiteral::isUnevaluated	1
_Bool	clang::StringLiteral::isPascal	1
_Bool	clang::StringLiteral::containsNonAscii	1
_Bool	clang::StringLiteral::containsNonAsciiOrNull	1
unsigned int	clang::StringLiteral::getNumConcatenated	1
const class clang::SourceLocation *	clang::StringLiteral::tokloc_begin	0
const class clang::SourceLocation *	clang::StringLiteral::tokloc_end	0
class clang::SourceLocation	clang::StringLiteral::getBeginLoc	1
class clang::SourceLocation	clang::StringLiteral::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::StringLiteral::children	1
class clang::Expr *	clang::CoroutineSuspendExpr::getCommonExpr	1
class clang::OpaqueValueExpr *	clang::CoroutineSuspendExpr::getOpaqueValue	1
class clang::Expr *	clang::CoroutineSuspendExpr::getReadyExpr	1
class clang::Expr *	clang::CoroutineSuspendExpr::getSuspendExpr	1
class clang::Expr *	clang::CoroutineSuspendExpr::getResumeExpr	1
class clang::Expr *	clang::CoroutineSuspendExpr::getOperand	1
class clang::SourceLocation	clang::CoroutineSuspendExpr::getKeywordLoc	1
class clang::SourceLocation	clang::CoroutineSuspendExpr::getBeginLoc	1
class clang::SourceLocation	clang::CoroutineSuspendExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CoroutineSuspendExpr::children	1
class llvm::APFloat	clang::FloatingLiteral::getValue	1
enum llvm::APFloatBase::Semantics	clang::FloatingLiteral::getRawSemantics	1
const struct llvm::fltSemantics &	clang::FloatingLiteral::getSemantics	1
_Bool	clang::FloatingLiteral::isExact	1
double	clang::FloatingLiteral::getValueAsApproximateDouble	1
class clang::SourceLocation	clang::FloatingLiteral::getLocation	1
class clang::SourceLocation	clang::FloatingLiteral::getBeginLoc	1
class clang::SourceLocation	clang::FloatingLiteral::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::FloatingLiteral::children	1
class clang::SourceLocation	clang::ConstantExpr::getBeginLoc	1
class clang::SourceLocation	clang::ConstantExpr::getEndLoc	1
enum clang::APValue::ValueKind	clang::ConstantExpr::getResultAPValueKind	1
enum clang::ConstantExpr::ResultStorageKind	clang::ConstantExpr::getResultStorageKind	1
_Bool	clang::ConstantExpr::isImmediateInvocation	1
_Bool	clang::ConstantExpr::hasAPValueResult	1
class clang::APValue	clang::ConstantExpr::getAPValueResult	1
class clang::APValue &	clang::ConstantExpr::getResultAsAPValue	1
class llvm::APSInt	clang::ConstantExpr::getResultAsAPSInt	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::ConstantExpr::children	1
_Bool	clang::CaseStmt::caseStmtIsGNURange	1
class clang::SourceLocation	clang::CaseStmt::getCaseLoc	1
class clang::SourceLocation	clang::CaseStmt::getEllipsisLoc	1
const class clang::Expr *	clang::CaseStmt::getLHS	1
const class clang::Expr *	clang::CaseStmt::getRHS	1
const class clang::Stmt *	clang::CaseStmt::getSubStmt	1
class clang::SourceLocation	clang::CaseStmt::getBeginLoc	1
class clang::SourceLocation	clang::CaseStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CaseStmt::children	1
_Bool	clang::DeclStmt::isSingleDecl	1
const class clang::Decl *	clang::DeclStmt::getSingleDecl	1
const class clang::DeclGroupRef	clang::DeclStmt::getDeclGroup	1
class clang::SourceLocation	clang::DeclStmt::getEndLoc	1
class clang::SourceLocation	clang::DeclStmt::getBeginLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::DeclStmt::children	1
class llvm::iterator_range<class clang::Decl *const *>	clang::DeclStmt::decls	1
class clang::Decl *const *	clang::DeclStmt::decl_begin	0
class clang::Decl *const *	clang::DeclStmt::decl_end	0
class clang::VarDecl *	clang::VarTemplateDecl::getTemplatedDecl	1
_Bool	clang::VarTemplateDecl::isThisDeclarationADefinition	1
const class clang::VarTemplateDecl *	clang::VarTemplateDecl::getCanonicalDecl	1
const class clang::VarTemplateDecl *	clang::VarTemplateDecl::getPreviousDecl	1
const class clang::VarTemplateDecl *	clang::VarTemplateDecl::getMostRecentDecl	1
class clang::VarTemplateDecl *	clang::VarTemplateDecl::getInstantiatedFromMemberTemplate	1
class llvm::iterator_range<struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::VarTemplateSpecializationDecl> >	clang::VarTemplateDecl::specializations	1
struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::VarTemplateSpecializationDecl>	clang::VarTemplateDecl::spec_begin	0
struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::VarTemplateSpecializationDecl>	clang::VarTemplateDecl::spec_end	0
const class clang::Type *	clang::TypeDecl::getTypeForDecl	1
class clang::SourceLocation	clang::TypeDecl::getBeginLoc	1
class clang::SourceRange	clang::TypeDecl::getSourceRange	1
class clang::CXXRecordDecl *	clang::ClassTemplateDecl::getTemplatedDecl	1
_Bool	clang::ClassTemplateDecl::isThisDeclarationADefinition	1
const class clang::ClassTemplateDecl *	clang::ClassTemplateDecl::getCanonicalDecl	1
const class clang::ClassTemplateDecl *	clang::ClassTemplateDecl::getPreviousDecl	1
const class clang::ClassTemplateDecl *	clang::ClassTemplateDecl::getMostRecentDecl	1
class clang::ClassTemplateDecl *	clang::ClassTemplateDecl::getInstantiatedFromMemberTemplate	1
class llvm::iterator_range<struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::ClassTemplateSpecializationDecl> >	clang::ClassTemplateDecl::specializations	1
struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::ClassTemplateSpecializationDecl>	clang::ClassTemplateDecl::spec_begin	0
struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::ClassTemplateSpecializationDecl>	clang::ClassTemplateDecl::spec_end	0
class clang::SourceRange	clang::NonTypeTemplateParmDecl::getSourceRange	1
const class clang::DefaultArgStorage<class clang::NonTypeTemplateParmDecl, class clang::Expr *> &	clang::NonTypeTemplateParmDecl::getDefaultArgStorage	1
_Bool	clang::NonTypeTemplateParmDecl::hasDefaultArgument	1
class clang::Expr *	clang::NonTypeTemplateParmDecl::getDefaultArgument	1
class clang::SourceLocation	clang::NonTypeTemplateParmDecl::getDefaultArgumentLoc	1
_Bool	clang::NonTypeTemplateParmDecl::defaultArgumentWasInherited	1
_Bool	clang::NonTypeTemplateParmDecl::isParameterPack	1
_Bool	clang::NonTypeTemplateParmDecl::isPackExpansion	1
_Bool	clang::NonTypeTemplateParmDecl::isExpandedParameterPack	1
unsigned int	clang::NonTypeTemplateParmDecl::getNumExpansionTypes	1
class clang::Expr *	clang::NonTypeTemplateParmDecl::getPlaceholderTypeConstraint	1
_Bool	clang::NonTypeTemplateParmDecl::hasPlaceholderTypeConstraint	1
class clang::TypeSourceInfo *	clang::ExplicitCastExpr::getTypeInfoAsWritten	1
class clang::QualType	clang::ExplicitCastExpr::getTypeAsWritten	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::TypoExpr::children	1
class clang::SourceLocation	clang::TypoExpr::getBeginLoc	1
class clang::SourceLocation	clang::TypoExpr::getEndLoc	1
class clang::NestedNameSpecifierLoc	clang::UsingDirectiveDecl::getQualifierLoc	1
class clang::NestedNameSpecifier *	clang::UsingDirectiveDecl::getQualifier	1
const class clang::NamedDecl *	clang::UsingDirectiveDecl::getNominatedNamespaceAsWritten	1
const class clang::NamespaceDecl *	clang::UsingDirectiveDecl::getNominatedNamespace	1
const class clang::DeclContext *	clang::UsingDirectiveDecl::getCommonAncestor	1
class clang::SourceLocation	clang::UsingDirectiveDecl::getUsingLoc	1
class clang::SourceLocation	clang::UsingDirectiveDecl::getNamespaceKeyLocation	1
class clang::SourceLocation	clang::UsingDirectiveDecl::getIdentLocation	1
class clang::SourceRange	clang::UsingDirectiveDecl::getSourceRange	1
class clang::UsingDecl *	clang::ConstructorUsingShadowDecl::getIntroducer	1
const class clang::CXXRecordDecl *	clang::ConstructorUsingShadowDecl::getParent	1
class clang::ConstructorUsingShadowDecl *	clang::ConstructorUsingShadowDecl::getNominatedBaseClassShadowDecl	1
class clang::ConstructorUsingShadowDecl *	clang::ConstructorUsingShadowDecl::getConstructedBaseClassShadowDecl	1
class clang::CXXRecordDecl *	clang::ConstructorUsingShadowDecl::getNominatedBaseClass	1
class clang::CXXRecordDecl *	clang::ConstructorUsingShadowDecl::getConstructedBaseClass	1
_Bool	clang::ConstructorUsingShadowDecl::constructsVirtualBase	1
class clang::SourceLocation	clang::UsingEnumDecl::getUsingLoc	1
class clang::SourceLocation	clang::UsingEnumDecl::getEnumLoc	1
class clang::NestedNameSpecifier *	clang::UsingEnumDecl::getQualifier	1
class clang::NestedNameSpecifierLoc	clang::UsingEnumDecl::getQualifierLoc	1
class clang::TypeLoc	clang::UsingEnumDecl::getEnumTypeLoc	1
class clang::TypeSourceInfo *	clang::UsingEnumDecl::getEnumType	1
class clang::EnumDecl *	clang::UsingEnumDecl::getEnumDecl	1
class clang::SourceRange	clang::UsingEnumDecl::getSourceRange	1
const class clang::UsingEnumDecl *	clang::UsingEnumDecl::getCanonicalDecl	1
class clang::QualType	clang::ValueDecl::getType	1
_Bool	clang::ValueDecl::isWeak	1
_Bool	clang::ValueDecl::isInitCapture	1
const class clang::VarDecl *	clang::ValueDecl::getPotentiallyDecomposedVarDecl	1
class clang::Expr *	clang::AsTypeExpr::getSrcExpr	1
class clang::SourceLocation	clang::AsTypeExpr::getBuiltinLoc	1
class clang::SourceLocation	clang::AsTypeExpr::getRParenLoc	1
class clang::SourceLocation	clang::AsTypeExpr::getBeginLoc	1
class clang::SourceLocation	clang::AsTypeExpr::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::AsTypeExpr::children	1
class clang::NamedDecl *	clang::UsingPackDecl::getInstantiatedFromUsingDecl	1
class llvm::ArrayRef<class clang::NamedDecl *>	clang::UsingPackDecl::expansions	1
class clang::SourceRange	clang::UsingPackDecl::getSourceRange	1
const class clang::UsingPackDecl *	clang::UsingPackDecl::getCanonicalDecl	1
class clang::Expr *	clang::ConceptDecl::getConstraintExpr	1
class clang::SourceRange	clang::ConceptDecl::getSourceRange	1
_Bool	clang::ConceptDecl::isTypeConcept	1
const class clang::ConceptDecl *	clang::ConceptDecl::getCanonicalDecl	1
const class clang::NamespaceAliasDecl *	clang::NamespaceAliasDecl::getCanonicalDecl	1
class clang::NestedNameSpecifierLoc	clang::NamespaceAliasDecl::getQualifierLoc	1
class clang::NestedNameSpecifier *	clang::NamespaceAliasDecl::getQualifier	1
const class clang::NamespaceDecl *	clang::NamespaceAliasDecl::getNamespace	1
class clang::SourceLocation	clang::NamespaceAliasDecl::getAliasLoc	1
class clang::SourceLocation	clang::NamespaceAliasDecl::getNamespaceLoc	1
class clang::SourceLocation	clang::NamespaceAliasDecl::getTargetNameLoc	1
class clang::NamedDecl *	clang::NamespaceAliasDecl::getAliasedNamespace	1
class clang::SourceRange	clang::NamespaceAliasDecl::getSourceRange	1
enum clang::LinkageSpecDecl::LanguageIDs	clang::LinkageSpecDecl::getLanguage	1
_Bool	clang::LinkageSpecDecl::hasBraces	1
class clang::SourceLocation	clang::LinkageSpecDecl::getExternLoc	1
class clang::SourceLocation	clang::LinkageSpecDecl::getRBraceLoc	1
class clang::SourceLocation	clang::LinkageSpecDecl::getEndLoc	1
class clang::SourceRange	clang::LinkageSpecDecl::getSourceRange	1
class clang::SourceLocation	clang::AccessSpecDecl::getAccessSpecifierLoc	1
class clang::SourceLocation	clang::AccessSpecDecl::getColonLoc	1
class clang::SourceRange	clang::AccessSpecDecl::getSourceRange	1
class clang::SourceRange	clang::TopLevelStmtDecl::getSourceRange	1
const class clang::Stmt *	clang::TopLevelStmtDecl::getStmt	1
_Bool	clang::TopLevelStmtDecl::isSemiMissing	1
const class clang::ValueDecl *	clang::LifetimeExtendedTemporaryDecl::getExtendingDecl	1
enum clang::StorageDuration	clang::LifetimeExtendedTemporaryDecl::getStorageDuration	1
const class clang::Expr *	clang::LifetimeExtendedTemporaryDecl::getTemporaryExpr	1
unsigned int	clang::LifetimeExtendedTemporaryDecl::getManglingNumber	1
class clang::APValue *	clang::LifetimeExtendedTemporaryDecl::getValue	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::LifetimeExtendedTemporaryDecl::childrenExpr	1
class clang::Stmt *	clang::CapturedDecl::getBody	1
_Bool	clang::CapturedDecl::isNothrow	1
unsigned int	clang::CapturedDecl::getNumParams	1
class llvm::ArrayRef<class clang::ImplicitParamDecl *>	clang::CapturedDecl::parameters	1
class clang::ImplicitParamDecl *	clang::CapturedDecl::getContextParam	1
unsigned int	clang::CapturedDecl::getContextParamPosition	1
class clang::ImplicitParamDecl *const *	clang::CapturedDecl::param_begin	0
class clang::ImplicitParamDecl *const *	clang::CapturedDecl::param_end	0
class clang::TypeSourceInfo *	clang::FriendTemplateDecl::getFriendType	1
class clang::NamedDecl *	clang::FriendTemplateDecl::getFriendDecl	1
class clang::SourceLocation	clang::FriendTemplateDecl::getFriendLoc	1
unsigned int	clang::FriendTemplateDecl::getNumTemplateParameters	1
const class clang::FunctionDecl *	clang::CXXDestructorDecl::getOperatorDelete	1
class clang::Expr *	clang::CXXDestructorDecl::getOperatorDeleteThisArg	1
const class clang::CXXDestructorDecl *	clang::CXXDestructorDecl::getCanonicalDecl	1
class clang::FunctionDecl *	clang::FunctionTemplateDecl::getTemplatedDecl	1
_Bool	clang::FunctionTemplateDecl::isThisDeclarationADefinition	1
const class clang::FunctionTemplateDecl *	clang::FunctionTemplateDecl::getCanonicalDecl	1
const class clang::FunctionTemplateDecl *	clang::FunctionTemplateDecl::getPreviousDecl	1
const class clang::FunctionTemplateDecl *	clang::FunctionTemplateDecl::getMostRecentDecl	1
class clang::FunctionTemplateDecl *	clang::FunctionTemplateDecl::getInstantiatedFromMemberTemplate	1
class llvm::iterator_range<struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::FunctionTemplateSpecializationInfo> >	clang::FunctionTemplateDecl::specializations	1
struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::FunctionTemplateSpecializationInfo>	clang::FunctionTemplateDecl::spec_begin	0
struct clang::RedeclarableTemplateDecl::SpecIterator<class clang::FunctionTemplateSpecializationInfo>	clang::FunctionTemplateDecl::spec_end	0
_Bool	clang::FunctionTemplateDecl::isAbbreviated	1
class clang::SourceLocation	clang::NullStmt::getSemiLoc	1
_Bool	clang::NullStmt::hasLeadingEmptyMacro	1
class clang::SourceLocation	clang::NullStmt::getBeginLoc	1
class clang::SourceLocation	clang::NullStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::NullStmt::children	1
class clang::SourceLocation	clang::ExportDecl::getExportLoc	1
class clang::SourceLocation	clang::ExportDecl::getRBraceLoc	1
_Bool	clang::ExportDecl::hasBraces	1
class clang::SourceLocation	clang::ExportDecl::getEndLoc	1
class clang::SourceRange	clang::ExportDecl::getSourceRange	1
unsigned int	clang::FieldDecl::getFieldIndex	1
_Bool	clang::FieldDecl::isMutable	1
_Bool	clang::FieldDecl::isBitField	1
_Bool	clang::FieldDecl::isUnnamedBitfield	1
_Bool	clang::FieldDecl::isAnonymousStructOrUnion	1
class clang::Expr *	clang::FieldDecl::getBitWidth	1
_Bool	clang::FieldDecl::isPotentiallyOverlapping	1
enum clang::InClassInitStyle	clang::FieldDecl::getInClassInitStyle	1
_Bool	clang::FieldDecl::hasInClassInitializer	1
_Bool	clang::FieldDecl::hasNonNullInClassInitializer	1
class clang::Expr *	clang::FieldDecl::getInClassInitializer	1
_Bool	clang::FieldDecl::hasCapturedVLAType	1
const class clang::VariableArrayType *	clang::FieldDecl::getCapturedVLAType	1
const class clang::RecordDecl *	clang::FieldDecl::getParent	1
class clang::SourceRange	clang::FieldDecl::getSourceRange	1
const class clang::FieldDecl *	clang::FieldDecl::getCanonicalDecl	1
const class clang::Expr *	clang::StaticAssertDecl::getAssertExpr	1
const class clang::Expr *	clang::StaticAssertDecl::getMessage	1
_Bool	clang::StaticAssertDecl::isFailed	1
class clang::SourceLocation	clang::StaticAssertDecl::getRParenLoc	1
class clang::SourceRange	clang::StaticAssertDecl::getSourceRange	1
const class clang::ExplicitSpecifier	clang::CXXDeductionGuideDecl::getExplicitSpecifier	1
_Bool	clang::CXXDeductionGuideDecl::isExplicit	1
class clang::TemplateDecl *	clang::CXXDeductionGuideDecl::getDeducedTemplate	1
class clang::CXXConstructorDecl *	clang::CXXDeductionGuideDecl::getCorrespondingConstructor	1
enum clang::DeductionCandidate	clang::CXXDeductionGuideDecl::getDeductionCandidateKind	1
class clang::SourceLocation	clang::FileScopeAsmDecl::getAsmLoc	1
class clang::SourceLocation	clang::FileScopeAsmDecl::getRParenLoc	1
class clang::SourceRange	clang::FileScopeAsmDecl::getSourceRange	1
const class clang::StringLiteral *	clang::FileScopeAsmDecl::getAsmString	1
class clang::IdentifierInfo *	clang::NamedDecl::getIdentifier	1
class llvm::StringRef	clang::NamedDecl::getName	1
class std::basic_string<char>	clang::NamedDecl::getNameAsString	1
class clang::DeclarationName	clang::NamedDecl::getDeclName	1
class std::basic_string<char>	clang::NamedDecl::getQualifiedNameAsString	1
_Bool	clang::NamedDecl::hasLinkage	1
_Bool	clang::NamedDecl::isCXXClassMember	1
_Bool	clang::NamedDecl::isCXXInstanceMember	1
enum clang::Linkage	clang::NamedDecl::getLinkageInternal	1
enum clang::Linkage	clang::NamedDecl::getFormalLinkage	1
_Bool	clang::NamedDecl::hasExternalFormalLinkage	1
_Bool	clang::NamedDecl::isExternallyVisible	1
_Bool	clang::NamedDecl::isExternallyDeclarable	1
enum clang::Visibility	clang::NamedDecl::getVisibility	0
class clang::LinkageInfo	clang::NamedDecl::getLinkageAndVisibility	0
_Bool	clang::NamedDecl::isLinkageValid	1
_Bool	clang::NamedDecl::hasLinkageBeenComputed	1
const class clang::NamedDecl *	clang::NamedDecl::getUnderlyingDecl	1
const class clang::NamedDecl *	clang::NamedDecl::getMostRecentDecl	1
enum clang::ObjCStringFormatFamily	clang::NamedDecl::getObjCFStringFormattingFamily	1
struct clang::DeclarationNameInfo	clang::FunctionDecl::getNameInfo	0
class clang::SourceLocation	clang::FunctionDecl::getEllipsisLoc	1
class clang::SourceRange	clang::FunctionDecl::getSourceRange	1
_Bool	clang::FunctionDecl::hasBody	1
_Bool	clang::FunctionDecl::hasTrivialBody	1
_Bool	clang::FunctionDecl::isDefined	1
const class clang::FunctionDecl *	clang::FunctionDecl::getDefinition	1
class clang::Stmt *	clang::FunctionDecl::getBody	1
_Bool	clang::FunctionDecl::isThisDeclarationADefinition	1
_Bool	clang::FunctionDecl::isThisDeclarationInstantiatedFromAFriendDefinition	1
_Bool	clang::FunctionDecl::doesThisDeclarationHaveABody	1
class clang::FunctionDecl::DefaultedFunctionInfo *	clang::FunctionDecl::getDefaultedFunctionInfo	1
_Bool	clang::FunctionDecl::isVariadic	1
_Bool	clang::FunctionDecl::isVirtualAsWritten	1
_Bool	clang::FunctionDecl::isPure	1
_Bool	clang::FunctionDecl::isLateTemplateParsed	1
_Bool	clang::FunctionDecl::isTrivial	1
_Bool	clang::FunctionDecl::isTrivialForCall	1
_Bool	clang::FunctionDecl::isDefaulted	1
_Bool	clang::FunctionDecl::isExplicitlyDefaulted	1
class clang::SourceLocation	clang::FunctionDecl::getDefaultLoc	1
_Bool	clang::FunctionDecl::isUserProvided	1
_Bool	clang::FunctionDecl::isIneligibleOrNotSelected	1
_Bool	clang::FunctionDecl::hasImplicitReturnZero	1
_Bool	clang::FunctionDecl::hasPrototype	1
_Bool	clang::FunctionDecl::hasWrittenPrototype	1
_Bool	clang::FunctionDecl::hasInheritedPrototype	1
_Bool	clang::FunctionDecl::isConstexpr	1
enum clang::ConstexprSpecKind	clang::FunctionDecl::getConstexprKind	1
_Bool	clang::FunctionDecl::isConstexprSpecified	1
_Bool	clang::FunctionDecl::isConsteval	1
_Bool	clang::FunctionDecl::BodyContainsImmediateEscalatingExpressions	1
_Bool	clang::FunctionDecl::isImmediateEscalating	1
_Bool	clang::FunctionDecl::isImmediateFunction	1
_Bool	clang::FunctionDecl::instantiationIsPending	1
_Bool	clang::FunctionDecl::usesSEHTry	1
_Bool	clang::FunctionDecl::isDeleted	1
_Bool	clang::FunctionDecl::isDeletedAsWritten	1
_Bool	clang::FunctionDecl::isMain	1
_Bool	clang::FunctionDecl::isMSVCRTEntryPoint	1
_Bool	clang::FunctionDecl::isReservedGlobalPlacementOperator	1
_Bool	clang::FunctionDecl::isInlineBuiltinDeclaration	1
_Bool	clang::FunctionDecl::isDestroyingOperatorDelete	1
enum clang::LanguageLinkage	clang::FunctionDecl::getLanguageLinkage	1
_Bool	clang::FunctionDecl::isExternC	1
_Bool	clang::FunctionDecl::isInExternCContext	1
_Bool	clang::FunctionDecl::isInExternCXXContext	1
_Bool	clang::FunctionDecl::isGlobal	1
_Bool	clang::FunctionDecl::isNoReturn	1
_Bool	clang::FunctionDecl::hasSkippedBody	1
_Bool	clang::FunctionDecl::willHaveBody	1
_Bool	clang::FunctionDecl::isMultiVersion	1
_Bool	clang::FunctionDecl::FriendConstraintRefersToEnclosingTemplate	1
_Bool	clang::FunctionDecl::isMemberLikeConstrainedFriend	1
enum clang::MultiVersionKind	clang::FunctionDecl::getMultiVersionKind	1
_Bool	clang::FunctionDecl::isCPUDispatchMultiVersion	1
_Bool	clang::FunctionDecl::isCPUSpecificMultiVersion	1
_Bool	clang::FunctionDecl::isTargetMultiVersion	1
_Bool	clang::FunctionDecl::isTargetClonesMultiVersion	1
const class clang::FunctionDecl *	clang::FunctionDecl::getCanonicalDecl	1
class llvm::ArrayRef<class clang::ParmVarDecl *>	clang::FunctionDecl::parameters	1
_Bool	clang::FunctionDecl::param_empty	1
class clang::ParmVarDecl *const *	clang::FunctionDecl::param_begin	0
class clang::ParmVarDecl *const *	clang::FunctionDecl::param_end	0
unsigned long	clang::FunctionDecl::param_size	1
unsigned int	clang::FunctionDecl::getNumParams	1
unsigned int	clang::FunctionDecl::getMinRequiredArguments	1
_Bool	clang::FunctionDecl::hasOneParamOrDefaultArgs	1
class clang::FunctionTypeLoc	clang::FunctionDecl::getFunctionTypeLoc	1
class clang::QualType	clang::FunctionDecl::getReturnType	1
class clang::SourceRange	clang::FunctionDecl::getReturnTypeSourceRange	1
class clang::SourceRange	clang::FunctionDecl::getParametersSourceRange	1
